Sample	Exp_ID	Ligand_no	Treatment	Ligand_concentration	Treament_type	Technical_rep	Exp_treat_rep_ID	Treatment_ID	DC_cell_number	OTII_cell_number	OVA_conc	Incubation	Genotype	Sex	Gmcsf_ug_mL	All_cells_percent	Live_cells_percent	Proliferation_percent	All_cells_number	Live_cells_number	Proliferation_number
E1_Zymosan_20_F_rep2	1	7	Zymosan	20	single	2	E1_Zymosan_20_2	Zymosan_20_2	10000	50000	200	3	TCRaKO	F	20	60.7	85.7	50.6	38096	32643	16512
E1_Zymosan_10_F_rep1	1	7	Zymosan	10	single	1	E1_Zymosan_10_1	Zymosan_10_1	10000	50000	200	3	TCRaKO	F	20	57.4	78.2	34.6	25139	19665	6807
E1_Zymosan_10_F_rep2	1	7	Zymosan	10	single	2	E1_Zymosan_10_2	Zymosan_10_2	10000	50000	200	3	TCRaKO	F	20	60.7	78.6	35.1	24545	19294	6765
E1_Zymosan_1_F_rep1	1	7	Zymosan	1	single	1	E1_Zymosan_1_1	Zymosan_1_1	10000	50000	200	3	TCRaKO	F	20	61.6	66.4	16.3	16672	11076	1803
E1_Zymosan_1_F_rep2	1	7	Zymosan	1	single	2	E1_Zymosan_1_2	Zymosan_1_2	10000	50000	200	3	TCRaKO	F	20	61.3	62	14.4	15318	9499	1366
E1_Zymosan_0_1_F_rep1	1	7	Zymosan	0_1	single	1	E1_Zymosan_0_1_1	Zymosan_0_1_1	10000	50000	200	3	TCRaKO	F	20	66.6	73.8	12.7	18200	13423	1705
E1_Zymosan_0_1_F_rep2	1	7	Zymosan	0_1	single	2	E1_Zymosan_0_1_2	Zymosan_0_1_2	10000	50000	200	3	TCRaKO	F	20	64.3	59.9	10.6	15274	9148	974
E1_SeV_40_F_rep1	1	7	SeV	40	single	1	E1_SeV_40_1	SeV_40_1	10000	50000	200	3	TCRaKO	F	20	69.7	82.4	33.8	28360	23358	7895
E1_SeV_40_F_rep2	1	7	SeV	40	single	2	E1_SeV_40_2	SeV_40_2	10000	50000	200	3	TCRaKO	F	20	73.3	90.3	72.2	60492	54611	39406
E1_SeV_20_F_rep1	1	7	SeV	20	single	1	E1_SeV_20_1	SeV_20_1	10000	50000	200	3	TCRaKO	F	20	73.1	84.5	33.7	27779	23476	7911
E1_SeV_20_F_rep2	1	7	SeV	20	single	2	E1_SeV_20_2	SeV_20_2	10000	50000	200	3	TCRaKO	F	20	72	85.6	41	29964	25636	10509
E1_SeV_10_F_rep1	1	7	SeV	10	single	1	E1_SeV_10_1	SeV_10_1	10000	50000	200	3	TCRaKO	F	20	72.9	82.1	23.4	25223	20704	4853
E1_SeV_10_F_rep2	1	7	SeV	10	single	2	E1_SeV_10_2	SeV_10_2	10000	50000	200	3	TCRaKO	F	20	71.9	83.6	30.1	25058	20959	6318
E1_SeV_1_F_rep1	1	7	SeV	1	single	1	E1_SeV_1_1	SeV_1_1	10000	50000	200	3	TCRaKO	F	20	68.9	77.5	19.7	19955	15456	3044
E1_SeV_1_F_rep2	1	7	SeV	1	single	2	E1_SeV_1_2	SeV_1_2	10000	50000	200	3	TCRaKO	F	20	67.9	76.5	13.8	17446	13339	1838
E1_SeV_0_1_F_rep1	1	7	SeV	0_1	single	1	E1_SeV_0_1_1	SeV_0_1_1	10000	50000	200	3	TCRaKO	F	20	59.7	68.4	11.7	12436	8503	991
